date,home_team,away_team,home_score,away_score,tournament
14/08/10,Aston Villa,West Ham,3.0,0.0,Premier League
14/08/10,Blackburn,Everton,1.0,0.0,Premier League
14/08/10,Bolton,Fulham,0.0,0.0,Premier League
14/08/10,Chelsea,West Brom,6.0,0.0,Premier League
14/08/10,Sunderland,Birmingham,2.0,2.0,Premier League
14/08/10,Tottenham,Man City,0.0,0.0,Premier League
14/08/10,Wigan,Blackpool,0.0,4.0,Premier League
14/08/10,Wolves,Stoke,2.0,1.0,Premier League
15/08/10,Liverpool,Arsenal,1.0,1.0,Premier League
16/08/10,Man United,Newcastle,3.0,0.0,Premier League
21/08/10,Arsenal,Blackpool,6.0,0.0,Premier League
21/08/10,Birmingham,Blackburn,2.0,1.0,Premier League
21/08/10,Everton,Wolves,1.0,1.0,Premier League
21/08/10,Stoke,Tottenham,1.0,2.0,Premier League
21/08/10,West Brom,Sunderland,1.0,0.0,Premier League
21/08/10,West Ham,Bolton,1.0,3.0,Premier League
21/08/10,Wigan,Chelsea,0.0,6.0,Premier League
22/08/10,Fulham,Man United,2.0,2.0,Premier League
22/08/10,Newcastle,Aston Villa,6.0,0.0,Premier League
23/08/10,Man City,Liverpool,3.0,0.0,Premier League
28/08/10,Blackburn,Arsenal,1.0,2.0,Premier League
28/08/10,Blackpool,Fulham,2.0,2.0,Premier League
28/08/10,Chelsea,Stoke,2.0,0.0,Premier League
28/08/10,Man United,West Ham,3.0,0.0,Premier League
28/08/10,Tottenham,Wigan,0.0,1.0,Premier League
28/08/10,Wolves,Newcastle,1.0,1.0,Premier League
29/08/10,Aston Villa,Everton,1.0,0.0,Premier League
29/08/10,Bolton,Birmingham,2.0,2.0,Premier League
29/08/10,Liverpool,West Brom,1.0,0.0,Premier League
29/08/10,Sunderland,Man City,1.0,0.0,Premier League
11/09/10,Arsenal,Bolton,4.0,1.0,Premier League
11/09/10,Everton,Man United,3.0,3.0,Premier League
11/09/10,Fulham,Wolves,2.0,1.0,Premier League
11/09/10,Man City,Blackburn,1.0,1.0,Premier League
11/09/10,Newcastle,Blackpool,0.0,2.0,Premier League
11/09/10,West Brom,Tottenham,1.0,1.0,Premier League
11/09/10,West Ham,Chelsea,1.0,3.0,Premier League
11/09/10,Wigan,Sunderland,1.0,1.0,Premier League
12/09/10,Birmingham,Liverpool,0.0,0.0,Premier League
13/09/10,Stoke,Aston Villa,2.0,1.0,Premier League
18/09/10,Aston Villa,Bolton,1.0,1.0,Premier League
18/09/10,Blackburn,Fulham,1.0,1.0,Premier League
18/09/10,Everton,Newcastle,0.0,1.0,Premier League
18/09/10,Stoke,West Ham,1.0,1.0,Premier League
18/09/10,Sunderland,Arsenal,1.0,1.0,Premier League
18/09/10,Tottenham,Wolves,3.0,1.0,Premier League
18/09/10,West Brom,Birmingham,3.0,1.0,Premier League
19/09/10,Chelsea,Blackpool,4.0,0.0,Premier League
19/09/10,Man United,Liverpool,3.0,2.0,Premier League
19/09/10,Wigan,Man City,0.0,2.0,Premier League
25/09/10,Arsenal,West Brom,2.0,3.0,Premier League
25/09/10,Birmingham,Wigan,0.0,0.0,Premier League
25/09/10,Blackpool,Blackburn,1.0,2.0,Premier League
25/09/10,Fulham,Everton,0.0,0.0,Premier League
25/09/10,Liverpool,Sunderland,2.0,2.0,Premier League
25/09/10,Man City,Chelsea,1.0,0.0,Premier League
25/09/10,West Ham,Tottenham,1.0,0.0,Premier League
26/09/10,Bolton,Man United,2.0,2.0,Premier League
26/09/10,Newcastle,Stoke,1.0,2.0,Premier League
26/09/10,Wolves,Aston Villa,1.0,2.0,Premier League
02/10/10,Birmingham,Everton,0.0,2.0,Premier League
02/10/10,Stoke,Blackburn,1.0,0.0,Premier League
02/10/10,Sunderland,Man United,0.0,0.0,Premier League
